y1,y2,x1,x2,x3
23.37013935,-1.358190246,9.564455445,6.23703773,0.3782458
20.29110038,0.295786156,9.302014309,4.422945556,-0.490106978
27.10921435,-0.539941124,9.546820648,9.132509965,-0.488475789
24.73731055,-2.348415505,9.52283599,6.589712652,-0.773248186
24.02875494,-1.190072424,9.725831514,6.541308601,-0.82295973
23.23716134,-1.376348602,9.11323773,6.147051351,-0.31866561
27.36106836,0.77649192,9.045701197,8.381955088,0.10292007
21.08237788,-1.371413045,9.042044357,4.12777421,-0.265672448
23.82538128,-1.972450363,9.411497243,6.656227392,-0.669808096
24.11707167,-1.862957125,9.712220775,6.734088423,-0.798336153
21.80688767,-2.065033816,9.188834727,4.824305737,-0.447883086
21.4793328,-2.398860458,9.700670127,4.582768239,-0.89199528
23.69879649,-3.764891491,9.385314165,7.312058231,-0.9831271
19.49497917,0.543528698,9.364719861,3.971197245,0.504498286
21.52991666,0.235210009,9.137306523,5.314025612,0.499183588
21.86821198,1.119990102,9.524063966,4.630317581,0.563821848
23.68067288,-2.564023867,9.090724598,5.770286271,-0.822585237
20.71289106,-1.642569163,9.937925674,4.166194577,-0.75518756
21.53400197,-2.366615395,9.511017441,4.24946476,-0.997667069
22.95412123,-2.586617247,9.057008769,4.749250499,0.046071472
31.08561099,-2.5376512,9.173027214,10.27131773,-0.004000876
18.80279247,-0.491140991,9.532633809,2.077240714,0.142215471
26.0278385,-0.244994837,9.658849803,6.903595166,0.284396336
19.21486963,-1.476587369,9.283639973,2.905222283,-0.626203867
25.99035545,-0.425549229,9.868062245,7.000155671,0.546016207
20.45602977,-1.169360929,9.681166032,4.240683352,-0.235240381
21.10774943,-2.255489344,9.542326362,3.462233696,-0.996139552
17.96202175,-3.014819696,9.210944154,3.058750391,-0.150992821
21.0446569,-4.481688612,9.596003242,3.994772709,-0.429250058
28.13315341,-2.697991049,9.846647725,8.012403075,-0.080462123
24.84425215,-1.085087235,9.654361221,7.146164925,0.184785106
25.2757957,0.208719558,9.319534931,5.992510566,0.87610103
19.71315222,0.857806055,9.850125826,1.955164496,0.434230891
23.81061876,3.255353045,9.836825464,6.222601187,0.744865231
15.28578413,-0.513300873,9.713217804,0.713424408,-0.807771868
25.36358876,-0.958973002,9.317496512,6.803384296,-0.454369773
20.99322484,-0.831793308,9.370065502,3.894906603,0.274366552
19.20746603,0.013066157,9.306543084,2.410280587,0.082906371
24.19024342,0.110358847,9.747773201,6.775404395,0.602908041
24.45595998,1.547359954,9.925891063,5.347003131,0.298631609
24.46067159,1.37327326,9.268770453,5.678227773,0.506080645
20.91671083,1.66013968,9.719396196,4.079744531,-0.188430567
22.10631079,-0.130884965,9.02594201,4.784067765,-0.545514537
23.31324623,-1.7363344,9.767134792,5.497578715,-0.759361235
19.07505319,1.155410333,9.672678288,3.751388599,0.616659625
24.50956929,1.388464018,9.756684752,6.837370914,-0.00091462
25.28417602,0.677146423,9.277206206,6.493586909,-0.682814591
15.9935664,1.648601418,9.869475518,1.501324588,0.319280603
23.46759555,2.076272516,9.975984463,4.896649241,-0.134442521
