z1,z2,z3
3.000312008,13.47210297,NA
2.964500306,14.88278411,NA
4.336756599,15.13033976,NA
3.412377107,16.91030968,NA
5.687285592,17.70688033,NA
5.132301583,17.78076325,NA
5.751608307,16.74394894,NA
7.028050316,16.38963616,NA
7.093064208,15.39497312,NA
7.386511157,17.30465546,NA
6.098037221,16.5590749,NA
8.038964969,15.54900661,NA
6.071507886,16.61362436,NA
6.575168874,17.82218575,NA
5.623856958,18.8346582,NA
7.085716981,17.59842107,NA
6.686257878,16.66382334,NA
6.095476104,16.81748347,NA
6.84477296,17.08076689,NA
7.562727984,16.58492109,NA
7.545308539,16.72786377,NA
6.282641476,16.13146816,NA
6.367527018,15.03322269,NA
4.162668269,14.07875342,NA
3.5155549,13.35236472,NA
3.742616313,12.31036141,NA
3.814848248,13.41572395,NA
4.099420041,14.97399056,NA
4.554585666,15.98612065,NA
6.786519752,15.64944244,NA
8.273724043,15.55347725,NA
9.914497121,16.67298376,NA
11.94903657,15.69856855,NA
11.70016786,15.16088248,NA
13.26673708,15.47221749,NA
11.03477867,14.9511716,NA
9.058090198,15.1376122,NA
8.943761839,16.70142395,NA
7.815281941,15.32458468,NA
7.465257705,12.55825556,NA
7.107131088,11.85868082,NA
7.38654856,11.45766169,NA
6.496289277,10.9318988,NA
7.617290555,9.285271154,NA
6.600372496,8.520157855,NA
7.623239951,8.342396156,NA
6.848136346,7.81526565,NA
7.804622614,8.590497358,NA
9.163815784,9.756749702,NA
9.286919112,8.983330201,NA
7.145532039,9.687055867,NA
8.286084045,10.10439287,NA
7.624087395,11.15251721,NA
7.933539686,10.97760739,NA
6.742584284,9.872178461,NA
7.688112721,9.570381964,NA
6.524964019,9.091400522,NA
7.401108912,9.186256301,NA
6.504762685,7.562800806,NA
6.538706093,5.943638197,NA
6.863110711,6.08301918,NA
6.955043288,7.342306547,NA
5.888677976,8.546289745,NA
4.55087252,7.593041492,NA
3.32333182,6.960142223,NA
5.908245551,5.564424901,NA
2.886391338,7.524651895,NA
3.707520969,7.052092674,NA
3.342998645,7.028562903,NA
1.583060238,7.402275546,NA
4.312779949,7.141679682,NA
4.016830274,6.198325449,NA
3.55985563,6.665420774,NA
5.022311401,5.850017331,NA
4.030353167,4.775270455,NA
4.75277449,3.968659358,NA
3.640337829,3.95369029,NA
3.923404087,2.834963696,NA
4.383803351,2.725400652,NA
4.203691688,1.356296443,NA
4.282082016,0.568254631,NA
5.345536367,-1.561491228,NA
5.131444746,-2.14650967,NA
5.208268275,-3.551853031,NA
5.023605987,-4.244919522,NA
6.044165483,-3.522122692,NA
5.510465046,-2.458579043,NA
3.633181973,-2.633750443,NA
4.230417007,-3.925894842,NA
2.400474498,-5.593787087,NA
1.330681828,-5.831505821,NA
1.287322639,-7.264092428,NA
2.482409138,-9.328181071,NA
1.993400021,-12.58743308,NA
2.962428706,-14.38556552,NA
2.358786838,-14.73702319,NA
4.027601721,-14.52860394,NA
3.690716259,-13.48838573,NA
3.511433847,-12.854168,NA
2.43102756,-13.02669094,NA
3.049466031,-13.23996111,NA
3.62555117,-13.59091534,NA
3.292111409,-13.05685536,NA
3.464689201,-13.07941177,NA
3.39586341,-12.75491718,NA
3.531949478,-11.99302633,NA
2.959466478,-12.29170209,NA
4.113712758,-10.66713709,NA
3.53370221,-9.603347735,NA
4.370704744,-9.370320664,NA
3.025753751,-9.140755325,NA
3.008321727,-7.487076447,NA
2.718184382,-6.273409676,NA
2.207455121,-7.169590087,NA
2.158405537,-8.092459585,NA
1.402207675,-6.825284661,NA
1.252303215,-5.421192209,NA
1.151034672,-5.384772257,NA
1.291825173,-5.615767616,NA
1.506499015,-5.28641877,NA
1.498365777,-6.486380779,NA
0.82767606,-7.401783826,NA
2.748453317,-8.750689814,NA
2.43504065,-8.810695838,NA
3.728376664,-8.51105868,NA
4.359445704,-6.49826427,NA
4.630745223,-5.176766227,NA
3.202865953,-5.105685479,NA
2.735747993,-5.628552585,NA
3.283955321,-4.828490953,NA
3.771322767,-3.688119637,NA
2.763105341,-4.099579409,NA
3.724126129,-3.180604766,NA
1.948095421,-2.56880247,NA
3.803838975,-1.039772254,NA
4.286134484,0.78059711,NA
4.58916236,1.809157204,NA
6.144750919,4.26925307,NA
7.261000865,5.431610839,NA
5.455319355,6.219984332,NA
7.205212337,3.552969607,NA
7.261631978,1.952042164,NA
6.764333363,-0.209771985,NA
7.846654443,-1.141311981,NA
6.685800018,-1.193280327,NA
5.980478385,-2.31778865,NA
7.195082622,-3.992738805,NA
6.698430645,-4.241168993,NA
6.480031298,-3.174445719,NA
5.197895276,-3.353447076,NA
7.316522742,-3.831376877,NA
8.592455922,-4.013070183,NA
8.805662137,-3.828508903,NA
9.132442523,-3.017429883,NA
8.738239323,-3.456983113,NA
10.22165747,-4.47219482,NA
10.22477546,-4.659176536,NA
10.19669604,-4.33851623,NA
10.73292762,-4.119377798,NA
12.52719421,-3.080848687,NA
12.22931145,-2.939369375,NA
13.15643156,-4.008438701,NA
14.29448207,-5.041142546,NA
14.46249274,-6.023476719,NA
12.82954387,-5.628476013,NA
13.27152594,-4.17604146,NA
13.85906467,-1.921934751,NA
11.36823941,-0.988005535,NA
13.17629308,-1.957207001,NA
13.77908894,-3.677845195,NA
14.45262807,-5.030533033,NA
13.22574841,-7.291089659,NA
12.64285306,-9.834218097,NA
13.57408861,-10.22347786,NA
11.90039382,-9.312486723,NA
12.42522888,-8.661562002,NA
11.40764277,-8.022924725,NA
12.63469364,-8.655358042,NA
13.84362457,-9.124333334,NA
14.20745129,-9.080526304,NA
14.30607365,-9.508849655,NA
14.90792539,-10.22786144,NA
16.02874337,-12.13932633,NA
14.21649332,-14.70865634,NA
14.48121662,-16.21096573,NA
15.07888444,-14.90484207,NA
15.40410534,-14.75709846,NA
15.54294093,-14.51355612,NA
13.65719488,-14.99800199,NA
13.3600459,-13.35423526,NA
13.40692995,-12.99644489,NA
15.30119349,-13.14069692,NA
14.67055457,-13.96323433,NA
14.56348611,-15.64439017,NA
12.82574619,-16.90796177,NA
12.53210757,-17.76713252,NA
11.92367014,-19.589997,NA
12.33692986,-20.53613798,NA
11.95366172,-20.93416202,NA
12.56550664,-20.63432471,NA
11.34856351,-21.13154933,NA
10.978201,-22.79125087,NA
11.37360252,-26.04210712,NA
11.53437888,-29.41944403,NA
11.82103493,-33.05668716,NA
10.4847168,-34.78555292,NA
11.5571464,-36.62398109,NA
10.67686454,-37.99707079,NA
11.28576704,-40.24214526,NA
12.36814143,-43.23531824,NA
14.16092343,-43.75662715,NA
12.30821378,-43.53872831,NA
14.79168061,-42.46750877,NA
15.00376259,-41.65710284,NA
15.08384863,-41.31143055,NA
14.93137022,-39.72321795,NA
14.07154211,-38.61055742,NA
14.15167926,-38.55178679,NA
14.28034531,-38.79373459,NA
14.20891726,-38.33947971,NA
14.79867847,-38.93998409,NA
15.68491632,-39.45454046,NA
15.80467688,-39.46832255,NA
16.96711236,-40.13628938,NA
17.16977482,-40.20488076,NA
17.46705098,-41.42254202,NA
16.45254913,-40.58677967,NA
16.29152825,-42.32885791,NA
17.40725877,-41.84910527,NA
17.7615322,-42.74052319,NA
16.5456065,-43.13141038,NA
16.49550604,-43.63387705,NA
16.13161629,-44.45398064,NA
15.8022623,-43.22727561,NA
15.6440845,-43.31931966,NA
16.21229811,-43.59858725,NA
14.23267491,-44.78292545,NA
16.61038391,-46.75608635,NA
16.8435185,-47.48914994,NA
17.67422277,-49.59341989,NA
17.10514435,-51.2926457,NA
18.76896678,-52.14496402,NA
19.44294349,-52.1093323,NA
21.8763855,-52.33509983,NA
20.21665253,-51.91586656,NA
20.5619939,-53.64756538,NA
20.86645145,-54.61174108,NA
23.06893632,-55.59225558,NA
22.79113081,-55.73456026,NA
22.28882043,-54.28660964,NA
21.88666846,-53.0273871,NA
21.6348157,-51.88390812,NA
21.92554918,-51.49590306,NA
21.36202545,-50.61466092,NA
20.69834409,-50.60709579,NA
21.69830123,-51.19652936,NA
21.07656694,-51.89026666,NA
19.957385,-51.17240782,NA
20.62935289,-50.36913102,NA
19.09521382,-49.97177816,NA
17.71402392,-50.92239209,NA
18.88337315,-48.67702306,NA
18.21601121,-46.85856682,NA
19.18225792,-44.88593841,NA
21.19509401,-42.91694552,NA
21.08771112,-42.51314133,NA
23.56367842,-41.85825151,NA
22.45684433,-40.60228291,NA
23.74164635,-40.03053016,NA
23.6925341,-41.77647999,NA
23.43116368,-42.32113739,NA
22.34397703,-41.82826329,NA
23.16780889,-41.25804825,NA
22.76962944,-41.14687664,NA
23.77242124,-43.27148975,NA
23.58751419,-44.67135637,NA
22.35084723,-45.00429717,NA
23.56485179,-43.86057706,NA
23.0992392,-43.75781761,NA
23.29802739,-44.70233347,NA
21.65612342,-47.41778478,NA
21.26108996,-48.86588076,NA
20.43628925,-49.82986698,NA
21.54319819,-48.44361518,NA
20.87749145,-46.36611228,NA
20.85428821,-46.31178522,NA
22.27756668,-46.23092479,NA
23.01187581,-45.26743699,NA
22.7059829,-45.87055526,NA
23.49556005,-47.13532758,NA
23.81026919,-48.77970945,NA
23.01410814,-50.86058698,NA
22.93054144,-51.86826037,NA
23.42199341,-50.83256145,NA
24.37062452,-50.04096457,NA
24.16435322,-49.08558238,NA
23.00133103,-49.22819444,NA
23.44022097,-48.6760735,NA
21.78172578,-48.67720981,NA
22.6952638,-50.09019496,NA
22.53312659,-52.67314594,NA
24.01747659,-52.38645595,NA
22.93724106,-51.1002522,NA
23.56950783,-48.68828779,NA
22.47823223,-49.41416606,NA
22.6984191,-49.18898186,NA
23.28414609,-49.93270111,NA
21.75389964,-50.78043931,NA
19.8430311,-51.8852203,NA
19.78288014,-52.6318604,NA
18.2281952,-53.48466393,NA
16.86664314,-53.63959074,NA
15.89412807,-53.96125035,NA
14.55343991,-54.26955573,NA
13.75225525,-54.82087609,NA
13.97710138,-54.60489679,NA
14.43194375,-53.62518857,NA
14.59664594,-55.81274405,NA
13.31531796,-56.67081719,NA
13.28832995,-57.71316552,NA
12.18258822,-56.6918538,NA
12.85887889,-55.48560224,NA
11.71426447,-55.8745856,NA
12.83578651,-56.16898631,NA
10.83210177,-57.09577393,NA
10.72193599,-58.09916989,NA
10.74358579,-56.99517753,NA
8.266077452,-57.03580858,NA
8.460904607,-55.39684187,NA
8.571443943,-53.7686777,NA
9.016507201,-52.64193873,NA
8.795720983,-52.58425652,NA
8.736294929,-50.57485103,NA
8.936605202,-50.74697693,NA
9.447914123,-51.41830257,NA
8.81143097,-50.52056649,NA
9.337314405,-50.31257822,NA
10.10428396,-49.27713841,NA
11.23899899,-48.08517362,NA
12.18495457,-47.01169083,NA
12.3422397,-47.02864995,NA
11.74813134,-47.56638559,NA
12.27499023,-46.95869722,NA
11.57661344,-47.49425417,NA
11.36896093,-49.0516056,NA
11.96138173,-50.04183422,NA
10.87961893,-48.12976381,NA
10.81532196,-46.902562,NA
9.939381054,-46.13025497,NA
10.16565462,-45.72681065,NA
10.22596161,-46.24137702,NA
10.23559319,-43.42455584,NA
10.24993569,-42.57160573,NA
9.182469763,-42.87919661,NA
10.15633942,-44.35902205,NA
10.11011896,-45.152536,NA
9.084438656,-45.6374244,NA
8.021001007,-46.24125432,NA
8.663600826,-47.61364245,NA
7.427690587,-49.11347563,NA
8.407430169,-49.55087565,NA
7.895737493,-49.2825037,NA
8.680990565,-47.62830001,NA
7.926752398,-47.35739029,NA
7.414550436,-46.71964901,NA
7.924922534,-44.75284599,NA
9.599790741,-44.03102001,NA
10.06983998,-42.96838568,NA
11.55657922,-41.04242477,NA
11.81671229,-39.11326952,NA
11.57651059,-37.24387778,NA
11.28152936,-35.59060863,NA
12.32048563,-34.7662835,NA
10.87978725,-34.81561053,NA
10.70904089,-36.3974527,NA
9.543536253,-37.24307679,NA
9.891797042,-37.75573995,NA
9.789228471,-38.50751046,NA
11.14149633,-38.18546655,NA
9.952870266,-37.85313074,NA
10.33081168,-38.39847724,NA
9.78554478,-39.46773554,NA
10.5533266,-38.38570914,NA
11.92712551,-39.55072188,NA
10.83433235,-41.01821685,NA
11.77050219,-42.9122146,NA
13.61467228,-43.38534894,NA
14.13066001,-43.01494152,NA
13.92401085,-42.92445939,NA
13.83224733,-42.90781741,NA
13.74811923,-42.69967518,NA
13.73312716,-42.02229117,NA
12.88837328,-40.68913731,NA
11.86471009,-40.601274,NA
11.18393115,-40.89483702,NA
12.7021813,-41.72119851,NA
11.45160692,-41.45437421,NA
11.25321183,-40.57151846,NA
12.42760377,-40.99430675,NA
11.64915794,-40.53879171,NA
11.759368,-39.66199463,NA
9.433445736,-39.70362251,NA
8.083952465,-38.22097564,NA
9.28273272,-37.2886012,NA
9.049282184,-37.32577516,NA
7.358260403,-38.85964059,NA
6.622413076,-39.61942676,NA
6.658168329,-39.32545222,NA
6.806689733,-39.45433188,NA
5.220818952,-42.11106767,NA
5.984046301,-43.76812299,NA
5.154424237,-46.05802044,NA
6.502887943,-45.96079969,NA
6.598436338,-44.69990023,NA
7.577221121,-43.86756051,NA
6.021317819,-43.10748919,NA
5.765877152,-43.6768423,NA
5.367968087,-44.03041041,NA
4.90427518,-45.7876295,NA
4.797928608,-47.55678312,NA
5.64770248,-47.69655531,NA
4.45597907,-49.12789012,NA
4.317687233,-49.31798515,NA
3.9924463,-48.19699801,NA
4.971817222,-48.44757774,NA
4.119609427,-48.70551946,NA
5.55139012,-48.96742007,NA
3.575594041,-49.68020849,NA
3.71452313,-50.29004181,NA
2.673102123,-50.48486906,NA
1.596671752,-50.96863873,NA
1.271743767,-52.12456389,NA
2.450141449,-52.75059275,NA
2.342190002,-50.24746433,NA
1.262752826,-49.87192545,NA
0.748702765,-49.1876651,NA
-1.228699805,-49.27179914,NA
-0.756740519,-48.96108603,NA
-2.281003174,-48.20165909,NA
-2.081446903,-48.98955237,NA
-2.244431418,-47.36290407,NA
-2.884418215,-48.56099813,NA
-3.108659945,-48.55946774,NA
-3.897749283,-48.24480021,NA
-2.520484934,-47.68293535,NA
-1.122077481,-46.68451766,NA
-0.903333904,-46.19236002,NA
-1.882561085,-46.96065427,NA
-1.567200715,-48.14720619,NA
-0.864402853,-49.32601246,NA
-1.555154985,-50.27734732,NA
-2.307002537,-51.99380146,NA
-1.0830438,-53.15670418,NA
-2.277551423,-55.51033992,NA
-2.933222905,-57.82352881,NA
-2.851346935,-58.73915488,NA
-2.030354723,-58.92040727,NA
-2.666867707,-56.56189105,NA
-3.268785537,-54.16040618,NA
-3.349246444,-54.60866239,NA
-3.346431359,-52.96018763,NA
-4.336614377,-51.08875316,NA
-5.231876775,-47.13868512,NA
-4.100109111,-45.48075911,NA
-3.828141358,-43.34675667,NA
-2.478233131,-42.57298363,NA
-2.541040173,-41.75124295,NA
-0.72131914,-41.81916134,NA
-0.23737397,-41.94560675,NA
-0.075349774,-40.63948561,NA
0.714964239,-42.07914347,NA
1.234271567,-40.67911188,NA
0.143056507,-40.44585851,NA
-0.034285262,-41.075186,NA
-0.552203668,-41.71457644,NA
-1.360618665,-42.11425769,NA
-0.34154823,-39.80806533,NA
-3.160004283,-38.71550792,NA
-1.806994171,-37.6333869,NA
-3.418769482,-37.80451879,NA
-2.917552348,-36.09272572,NA
-2.658868977,-34.40652069,NA
-2.322649948,-34.23809907,NA
-3.003799018,-33.1464869,NA
-1.259934563,-32.10098642,NA
-1.918301776,-33.05759309,NA
-2.108929058,-33.04369233,NA
-0.852637152,-33.92059657,NA
-0.083590131,-33.35156998,NA
-0.109475711,-34.17151468,NA
0.46703666,-34.41673975,NA
-1.284347228,-34.22876075,NA
-1.489437128,-34.131176,NA
-1.705065964,-34.03670387,NA
-1.908880728,-34.06255152,NA
-1.558567177,-34.96147856,NA
-1.494382705,-35.63017231,NA
-1.269913236,-35.0286177,NA
-2.64953701,-33.67170929,NA
-1.771696686,-32.78208994,NA
-2.341225694,-32.33786549,NA
-2.018097138,-34.71157732,NA
-2.215907732,-35.96240586,NA
-2.962377364,-37.60255863,NA
-2.441391886,-39.48340474,NA
-2.554382059,-39.94329717,NA
-3.365323099,-37.85396852,NA
-3.59147709,-35.91674397,NA
-2.455974345,-36.92123098,NA
-2.966704801,-37.91929585,NA
-2.198693984,-37.38265478,NA
-1.008971331,-37.33562853,NA
-1.63238847,-37.13368904,NA
-1.107095518,-37.41921927,NA
-2.0572755,-37.07150771,NA
-1.386436132,-38.63305165,NA
0.206649376,-38.67557778,NA
1.109263841,-37.9994116,NA
1.346689964,-37.51199649,NA
1.628448474,-38.08918113,NA
2.969082136,-37.54358721,NA
3.406941525,-38.76643813,NA
2.285670794,-39.68472546,NA
2.717800583,-40.69876419,NA
1.836680332,-42.97073397,NA
2.577810409,-43.18665842,NA
1.935446772,-42.58433524,NA
1.637400618,-41.248375,NA
1.948039054,-41.77040613,NA
2.985317525,-41.16796509,NA
4.505609164,-42.26345072,NA
4.113818579,-44.12469435,NA
4.447214696,-44.54040553,NA
3.899533881,-44.58951709,NA
3.178537084,-45.48964311,NA
2.559133948,-45.24384964,NA
2.096156485,-46.13853334,NA
1.730237852,-45.86132649,NA
0.55224152,-45.80046027,NA
-0.325220818,-46.49921179,NA
-0.317012862,-47.12174858,NA
0.074593547,-47.14080748,NA
-0.509983572,-48.35424879,NA
-0.63932594,-48.54347621,NA
-2.936995865,-49.80154235,NA
-2.825650534,-50.37575055,NA
-3.504241198,-49.5718028,NA
-3.037778637,-49.03204149,NA
-3.582594888,-49.25813994,NA
-3.811819324,-51.49915322,NA
-3.35145542,-52.03562962,NA
-4.217490766,-53.81116749,NA
-2.622397638,-56.52370493,NA
-2.918317634,-57.45271069,NA
-2.851507562,-57.59860038,NA
-3.299505546,-56.39142128,NA
-4.077341054,-55.11495747,NA
-3.99907284,-54.3908864,NA
-3.4226809,-53.18939265,NA
-4.068761834,-51.88478777,NA
-4.757024645,-52.18045348,NA
-4.964752289,-51.10136758,NA
-3.692769727,-49.12673305,NA
-4.348334838,-47.03811013,NA
-3.993364422,-45.39479456,NA
-6.300136816,-44.85625759,NA
-6.367740792,-44.15053941,NA
-7.703842614,-43.43422078,NA
-7.253707212,-41.15296885,NA
-8.478088819,-40.87297181,NA
-5.903720704,-41.41404578,NA
-7.103577336,-40.53461174,NA
-8.236921734,-39.39815356,NA
